-1,1,-1,0,1,-2,-3,1
-1,-3,2,1,-2,2,2,-2
0,-1,-1,-2,1,0,-3,-2
0,-1,-1,-2,-1,-2,-2,-2
-1,-1,1,-1,-3,0,-1,-1
-2,-1,-1,-2,-3,-1,-3,0
-1,0,3,3,-1,0,3,0
-1,-1,-22,-8,-4,-2,-8,-3
-3,-6,11,1,3,0,0,2
0,-1,-13,-5,-2,0,-1,-2
-5,-3,-4,-1,-4,-3,-4,-4
4,0,10,1,-1,-3,3,5
-1,1,-8,0,0,2,-2,-5
-3,-1,9,0,-1,-3,-1,1
0,1,-9,-3,1,-2,-2,-1
-2,-1,4,0,0,-4,-3,-1
5,-3,-16,0,-3,-2,-4,1
1,-2,16,-2,0,2,0,-4
0,2,-6,0,-2,-1,-1,-3
5,0,25,7,0,0,-1,1
3,0,42,-4,-2,-3,6,1
-1,-4,-100,-13,1,0,-3,4
22,0,52,12,2,3,7,5
-57,-7,-66,-29,-12,-7,-13,-12
-1,-7,20,3,2,2,11,-4
15,6,24,-9,-2,1,-1,-2
-6,4,-5,-6,9,1,5,7
6,-4,4,12,-4,-3,-4,-4
-3,3,3,-16,0,4,7,0
-10,-2,7,1,-1,-4,-1,-2
-10,2,-24,0,-1,-6,-9,-11
13,6,9,3,5,1,-4,5
-3,-18,-23,-6,-4,2,11,2
15,1,53,17,-2,5,5,-1
-19,-1,-27,-13,-4,-4,0,-2
-4,-4,-33,-21,-2,-4,17,0
22,18,49,30,6,8,-15,-6
-3,-9,-37,-8,-6,-5,3,7
15,-22,-1,18,1,2,-4,-7
-26,4,9,-29,-3,-3,3,3
-4,5,5,1,2,-4,-5,2
-8,5,2,-4,2,-1,0,-2
-3,2,-25,6,0,-2,-4,-17
40,-9,67,37,2,-3,-8,26
-73,-6,-87,-23,-9,-1,6,-8
1,-2,22,9,0,1,-26,-3
-4,-9,13,1,-4,-3,9,1
4,4,-9,-20,3,2,-34,-15
5,-3,3,9,-1,-2,-8,-2
-23,2,10,-7,-5,-3,4,5
-2,-8,-35,-11,-1,2,-1,5
-2,4,26,16,-1,4,12,-8
5,-3,-31,-7,-1,-9,-23,-1
-12,-5,9,-8,-6,-7,-6,-9
15,5,-34,-19,-3,4,3,13
1,1,13,11,1,2,9,-1
-2,-3,-21,-13,-1,-2,2,-1
6,-1,32,22,3,-1,14,10
-44,-2,-20,4,-5,-1,6,9
26,-9,-28,-19,-4,-1,3,-4
4,9,22,17,4,-3,-7,-8
13,0,14,-3,2,3,14,18
18,7,5,-13,-5,-2,8,-18
-20,-11,19,17,1,2,-7,1
3,-4,37,0,-4,-2,9,-6
5,-4,-31,10,-1,-12,-7,3
-15,-5,6,-7,5,11,-20,-6
11,6,13,1,3,3,8,-12
-13,3,55,22,2,0,1,1
-19,-12,-17,-35,-9,-7,-7,-14
24,1,10,5,-4,-11,-7,15
-7,4,-17,10,2,3,6,-6
5,6,-6,-11,0,0,-6,3
9,-6,19,13,1,2,-1,-9
-9,-15,-80,-31,-5,2,7,2
8,15,70,12,-4,-6,-8,7
-20,-8,-10,-9,0,-3,5,8
-14,-7,-43,-7,-4,1,-7,-11
26,9,55,2,2,-4,-1,-3
-26,-14,-100,2,-6,-2,-6,1
4,7,52,3,-3,-3,-12,-19
-3,-4,-25,9,2,-1,24,2
-1,13,93,14,3,1,-8,13
-19,-7,-90,-39,-9,-4,5,-22
6,-20,-20,1,-5,-10,-22,2
17,7,46,-2,2,7,3,-2
-18,11,-1,18,-5,-7,-1,-5
7,-10,-31,-9,2,1,7,1
-2,-1,-44,-11,3,4,8,11
21,20,14,14,7,1,-6,-3
-9,-21,-46,-17,-6,1,-2,-8
-21,-23,27,-11,2,-3,-6,-7
23,2,-14,-3,-1,3,10,11
-17,16,82,9,1,1,0,5
-2,-3,12,20,4,-3,1,7
5,0,-13,-8,-2,0,-8,-10
31,-5,-50,-7,-5,0,9,-6
-38,-7,34,-8,-10,-6,-13,-12
9,9,-15,9,5,2,-6,11
-1,-3,56,18,5,1,1,-4
13,-3,-10,-16,2,0,7,5
1,-7,-21,-1,-2,0,-12,-1
-12,10,-8,-15,5,15,16,-7
20,-9,3,16,2,-2,-2,10
-21,11,22,-6,-5,-7,-8,12
5,8,-33,24,3,-2,-8,-49
24,-7,-4,-25,-7,-6,14,14
-2,15,-15,-12,-2,1,0,22
19,3,60,30,5,5,-1,-7
-4,-20,-99,-32,-4,-2,23,5
20,-3,-6,-7,-5,-3,-17,-4
-20,1,3,-5,-7,-4,-2,-12
0,6,3,6,-2,-1,1,-4
3,-11,18,13,5,4,1,19
-9,-13,-5,-27,-8,-7,-9,-17
16,7,43,10,7,4,7,3
-11,-29,-78,-36,-7,-6,-9,2
-37,17,73,-12,-2,-2,-10,-4
2,-4,-6,16,-3,-7,-6,-7
3,12,45,26,6,5,1,-8
-8,-4,-45,-13,3,1,16,12
18,-1,-13,-16,-10,-1,-10,4
-14,-20,21,-2,2,-4,8,-20
6,8,19,10,0,2,-18,7
-1,-1,-17,5,-1,-1,3,-14
-18,8,-12,7,0,-3,-2,11
-11,-15,23,15,3,4,0,-5
2,-6,-62,-26,-11,-5,15,-10
6,9,-6,4,1,-1,-6,14
17,-3,-10,-9,-3,0,1,15
-5,3,-69,5,-7,-12,-17,-22
-2,1,42,-5,0,2,19,8
-3,12,9,0,2,14,4,-3
1,3,23,5,7,4,0,6
4,-3,-42,4,2,3,0,4
-22,-5,18,6,2,-2,-7,1
7,20,119,56,0,-7,-15,1
4,-5,-92,-52,-3,-2,8,2
6,10,127,21,5,-1,-5,16
-9,-17,-122,-3,-2,-3,-9,-5
-8,-10,78,-4,-6,-6,-7,-8
-5,-1,-18,3,2,6,6,-14
14,17,82,28,3,-1,6,33
2,-18,-108,-61,-8,0,-2,8
22,16,26,4,-4,-9,-17,-9
-31,-14,43,2,-5,-6,-2,1
-6,2,28,-15,-4,-1,-2,-13
21,16,70,36,3,3,-10,22
10,-14,-128,-19,-6,2,9,-4
13,5,-34,-10,-3,1,2,-7
-8,12,34,8,3,-6,-51,-2
-13,-6,64,3,-4,3,6,-7
-9,-5,-43,-47,-9,-10,1,7
-11,-8,-12,18,1,0,7,-11
-6,14,-21,0,-5,0,15,3
18,13,29,13,3,3,-3,-5
-23,-29,-25,-6,-1,-5,-14,-9
14,-24,-28,-22,-7,-3,-12,-6
-17,-1,40,10,-5,-8,3,1
-5,-12,-95,-27,-6,-6,-8,-26
1,5,0,8,3,4,8,-3
-22,6,58,1,-4,-7,-9,9
25,7,-38,-7,2,6,6,-13
10,8,-5,8,-5,-4,14,11
-9,-7,-40,-3,-3,1,3,-4
6,3,-37,17,-1,-3,4,-10
-14,-29,-46,-41,-3,-1,-5,-2
7,24,120,44,4,2,15,-1
-3,-6,1,-6,-2,-4,-20,6
22,8,72,-9,0,9,9,-14
-6,1,-17,-13,-5,-1,0,1
10,10,121,20,4,0,4,14
-17,-10,-19,-5,-5,-8,-14,-9
13,-4,13,22,9,-5,-22,-4
-22,3,16,0,-6,-4,-5,1
4,5,3,-5,-4,-1,-7,-7
2,-29,-17,5,0,1,11,13
14,18,-69,-5,0,-5,-10,3
3,-5,54,35,7,2,5,10
-20,-10,-111,-48,-4,-3,-19,-28
-1,13,98,22,4,4,6,-1
-1,22,61,49,2,-5,6,16
-15,-13,-28,-45,2,4,2,-14
9,6,8,-12,-3,-3,-1,17
10,14,33,18,0,-4,-4,-9
7,5,-23,-4,4,4,13,5
10,-15,-37,-5,-3,1,1,-5
-19,-20,55,31,3,-4,-6,-10
-2,19,52,-16,0,1,5,-6
4,-9,23,-19,5,3,7,21
11,3,45,28,-1,-1,1,-14
-1,1,34,10,4,-1,1,-9
-12,-10,-87,-8,-7,-3,-16,0
-2,-22,1,-9,-5,-4,-5,-4
-2,-1,25,0,-5,-4,0,5
5,3,-73,-24,-2,-1,-5,5
-3,-18,54,37,1,-7,3,-18
18,10,16,-3,2,5,-6,13
-15,1,-103,-32,-11,-6,-7,-8
9,-6,-5,20,6,4,20,8
13,20,-31,-27,3,5,7,21
-11,-8,23,8,-2,-8,-3,-19
18,4,78,12,0,3,1,7
7,4,22,14,-4,-5,5,7
-50,-6,26,-25,11,11,7,-19
27,10,-12,5,-2,-3,6,34
-27,-1,-61,-14,0,2,9,-14
-2,-16,-88,-29,-13,-7,3,8
9,12,18,-6,-3,0,1,2
-12,-21,17,2,-6,-10,-8,-16
6,3,-18,-2,2,0,3,11
-12,13,-42,2,1,-2,-10,-22
7,13,32,19,4,6,6,2
-13,-10,-41,-26,-8,-2,-8,-7
27,8,4,17,6,3,2,20
-36,-15,45,-16,-8,-7,-13,-16
1,1,-49,-34,-3,0,-1,13
17,17,13,31,4,1,1,-12
-8,8,-20,-1,3,2,0,0
8,5,51,8,6,0,4,2
-6,-28,-40,1,-7,-3,1,-3
-2,-12,-37,-36,-6,1,-7,-7
-10,-4,-16,-8,-10,-10,-4,-6
5,-1,28,11,-2,1,-2,8
3,19,68,27,3,-3,-3,1
23,-10,-17,-2,1,4,5,7
-55,-9,34,-11,-5,-5,-7,-16
3,-8,-46,1,3,1,-12,-1
13,13,40,-33,-6,0,5,-4
-31,-11,-25,17,-3,0,-2,-8
19,0,53,20,4,-1,-2,8
7,10,-11,-11,-4,2,-2,9
-25,-35,0,8,-6,-6,-4,-10
11,-5,-34,-14,0,5,1,-11
6,-11,-35,-3,-3,1,3,5
-8,13,29,20,-4,-6,-1,4
22,-3,-41,-11,0,-2,-5,-5
-11,6,1,17,3,2,0,6
29,-3,32,-25,-4,-3,-2,-1
-55,-25,-124,-31,-10,-7,-6,-15
2,3,30,7,0,-2,-3,-7
-18,12,81,13,5,2,0,6
10,7,33,28,5,-4,-3,7
15,5,12,-6,4,3,3,-10
-5,-1,-3,22,3,1,-19,5
-19,9,31,-26,-7,-4,-1,-1
19,-4,57,27,1,0,4,0
3,-20,-25,-20,-3,-4,-10,9
14,13,-33,18,5,5,11,-12
-7,-2,-78,-37,-6,1,-3,-3
-12,-1,26,21,3,-2,-8,-12
22,6,60,33,1,1,2,8
-8,10,-48,-31,7,0,6,9
-3,9,54,15,-2,-6,-4,-32
-1,-4,-89,-25,-5,4,7,16
-3,5,22,10,3,0,-5,-10
-5,-21,117,11,-6,-9,-16,4
18,-10,10,0,3,2,6,14
-22,1,46,4,3,6,4,-9
-21,-1,-13,-3,-1,-5,0,4
3,6,-9,-10,-8,-2,2,-3
21,-17,23,13,4,3,-14,14
-28,-2,56,18,-3,-6,-4,-11
-13,-12,-61,-77,-5,-3,1,-23
1,1,32,42,3,-5,-6,5
-11,-9,-31,-37,-11,-7,-1,9
5,7,4,3,-4,0,10,-4
2,-5,-24,5,0,-1,-4,4
3,4,-50,-13,-13,-7,3,-5
-18,4,95,28,1,-4,-4,-3
4,-12,-113,-17,0,0,-3,-6
17,13,39,9,6,5,7,9
3,-12,-25,-7,0,-3,0,20
-9,-6,57,13,3,1,4,4
13,11,18,0,0,-1,4,-4
-3,-21,-24,-11,-9,-1,0,-8
-4,14,66,16,12,14,10,13
15,6,-32,-3,-4,-6,-5,-7
-4,-16,-50,-4,3,1,-1,-6
4,8,27,-8,0,-1,-1,10
-3,1,27,-6,-1,-4,-5,-32
23,3,-113,-12,-1,3,4,4
10,5,2,-10,-2,-1,-6,-3
3,16,57,19,0,1,9,11
3,-15,-108,-16,-1,-1,3,7
-6,13,43,8,-4,-5,0,3
-1,-38,-50,-25,-10,-5,-6,-2
-5,1,25,11,0,4,15,-4
30,0,52,-14,0,-1,-14,15
-44,-10,-67,-8,3,2,1,-12
-1,-4,17,-4,-3,-5,-3,4
2,-4,17,3,-2,-4,0,-7
-7,-2,2,-2,-1,6,19,-8
-6,1,-2,16,1,-1,-9,2
-14,-6,-4,-14,-6,0,0,-1
9,10,32,1,5,-3,-10,3
-18,3,-10,2,-4,-3,4,-6
-8,-6,70,-3,-3,-2,-2,-6
1,-4,-6,2,1,-2,-3,2
26,-10,29,33,3,1,-8,6
-36,-6,-22,-6,-4,-5,-4,-4
21,-1,33,2,3,0,4,1
-20,10,-4,4,1,-4,-7,-1
7,13,35,-13,-2,9,3,-1
-1,-8,-36,-3,-6,-2,-5,0
5,-11,-20,-14,-1,-3,-5,-6
8,3,-3,13,1,-2,-3,-30
-19,-17,-48,-28,-2,0,-5,2
7,15,1,6,2,-1,14,9
15,-13,-96,6,-3,-6,-6,0
-37,17,95,2,9,11,6,11
4,-10,4,-1,-3,-6,6,-10
10,3,59,12,3,2,1,-6
-7,7,-8,-17,-11,-11,-2,-1
21,6,10,1,2,2,5,7
3,-10,-8,19,2,0,-5,13
-3,-14,-11,-47,-6,0,-3,-12
5,7,37,23,0,2,5,8
0,-22,-60,10,-1,-6,-10,-8
-10,-4,-14,-20,-3,-4,-4,2
12,4,-4,18,-2,0,-4,1
-3,8,88,-4,1,-1,-3,-5
7,-9,-1,-10,-5,1,2,-6
-4,0,76,3,-2,-3,-5,-1
-17,-4,-64,-11,-11,-9,-9,-12
6,-1,-13,-4,3,4,0,-11
3,19,49,29,11,1,2,12
6,-12,10,-34,-13,-2,-11,-9
8,19,42,21,5,2,-1,11
0,-6,19,6,0,2,2,3
15,-8,-28,-24,-7,-4,-4,16
-25,11,-8,27,7,2,15,-21
-10,-3,39,-10,-2,-3,1,-2
-7,4,36,15,6,3,1,5
6,-2,-48,-9,-3,-2,-5,6
17,30,42,1,1,-2,-2,-1
-8,-21,-88,-8,-1,2,4,6
-13,-12,-50,-1,-2,-1,-3,3
-10,1,-18,-30,-3,-3,-3,-36
3,-8,-19,8,1,0,1,10
4,10,85,19,-1,-2,-7,2
1,-10,-59,-13,0,-5,-4,-2
34,11,35,-13,0,2,4,16
-56,-41,-122,-26,-10,-11,-18,-18
17,7,68,25,6,2,2,-9
2,-5,-19,-2,-4,-1,-2,-5
-13,9,73,11,-4,-5,-5,-3
11,15,31,12,0,3,3,6
3,-19,-47,-13,-1,-3,1,15
-29,3,-11,-25,-6,1,2,-24
-8,11,22,30,1,-1,2,3
17,-13,-7,-22,2,2,-2,-4
-2,8,-2,9,2,-1,-1,28
11,-5,7,8,2,-2,-14,-3
-10,-5,-35,-6,-2,1,2,0
10,12,-20,6,0,-2,14,1
-7,-21,-69,-43,-5,-1,-2,-17
-32,-1,87,66,1,-4,-1,9
-16,-15,-31,-26,-4,-9,-14,-33
14,10,12,-11,3,3,4,0
-9,-5,-58,3,0,0,0,-11
4,5,29,-8,1,0,2,12
-1,-17,-59,-12,-2,1,1,1
-14,8,95,33,-1,-1,-12,-1
-9,-22,-20,-17,-9,-9,-8,-29
10,16,-32,-6,3,2,2,-2
-6,-10,21,6,-5,-3,-3,5
5,1,-55,-24,-1,-3,-17,-2
8,-5,30,21,0,0,-2,10
-17,11,-7,-19,-8,-6,-3,-32
15,1,14,-15,-1,0,10,10
1,5,33,24,4,0,-10,11
-11,-8,-13,13,2,-1,-3,-11
8,5,64,6,4,-1,-2,0
0,-8,-93,-22,-5,-2,-1,-1
-3,9,66,14,0,-3,1,-1
-39,6,0,3,1,-3,-3,1
15,-14,25,-8,-4,-2,-10,13
-2,-6,5,11,4,3,-4,-4
-5,8,-47,-14,-2,-2,3,6
12,9,-5,10,-1,-4,-4,-3
4,-16,-64,-23,-5,3,4,-30
0,-1,74,20,-1,-3,-23,11
11,-9,-45,-7,2,-2,0,0
-6,-1,7,-15,-8,-5,-16,-9
15,3,47,30,6,3,8,13
3,14,2,-20,0,6,8,2
4,0,39,12,-3,-4,0,-7
7,-20,-42,-5,-4,0,-4,-2
-1,4,-25,-27,0,3,4,9
-3,10,60,48,3,-1,2,2
-17,-23,-28,-16,-6,-4,-3,-13
-2,1,-45,-15,-1,2,6,9
6,5,-8,1,-4,-3,0,-2
-23,-4,-19,-4,-3,-7,-4,-6
-1,1,12,-15,0,-2,0,-4
2,7,53,0,0,4,2,-3
-8,-17,-4,6,-5,-4,-4,-4
7,2,-32,-21,-8,-7,-7,5
1,8,25,37,3,3,3,-2
20,12,52,-11,0,-1,5,-4
-5,-12,-47,-27,-9,-3,-4,9
7,2,6,-7,1,5,8,12
-11,-15,-61,0,-6,-6,-4,-6
3,2,82,5,0,1,19,1
-7,9,5,0,-4,-3,2,-8
6,-1,-45,17,1,0,6,3
-7,-20,-35,-3,0,-1,1,4
21,10,18,-1,-3,-2,-4,0
-80,-12,-11,-9,0,-3,-9,-8
5,-4,48,10,1,-1,-2,1
2,-5,-27,-33,-7,-2,0,-1
3,5,11,23,2,0,-5,-5
5,-3,-8,-10,-1,-4,-1,1
15,-4,-49,-19,-5,-2,2,-2
-18,-12,46,20,3,2,2,9
4,31,-5,-4,5,5,0,7
13,-2,-16,10,0,-4,3,7
-7,-6,48,10,-1,3,1,-8
30,27,66,8,4,1,15,7
-9,-24,-37,-27,-9,-4,-13,2
17,11,-12,5,2,4,16,1
2,14,42,9,6,4,-7,-1
-2,-4,-89,-8,-9,-5,1,-3
-10,-11,44,10,2,-2,3,18
6,14,31,-10,1,6,1,-38
-7,-12,-32,-3,2,-3,-1,-3
-5,-9,-2,-17,-7,-1,-13,0
-12,2,-29,0,1,-2,-1,-5
14,6,-29,-2,0,1,-2,17
-5,-2,6,-5,4,1,7,-6
-3,7,78,9,3,2,-3,-2
26,1,0,0,-1,-2,1,3
-14,-3,24,-2,-1,0,-1,8
-2,-4,13,18,-4,-8,-7,-9
-1,-4,-87,-45,-12,-2,-4,-9
3,-7,-10,-2,1,-2,-3,16
1,-13,-16,2,1,1,-1,-8
-7,-5,37,1,-10,-9,-4,0
0,10,-3,17,10,5,0,-7
-20,-10,17,-16,-3,1,3,-4
-2,1,-6,9,-1,-2,-5,20
0,5,14,1,0,2,4,-6
-34,-25,-61,-13,-7,-7,-6,-5
9,4,6,-15,0,2,-2,-9
0,0,45,28,6,0,1,0
0,8,-10,-7,-3,-1,9,15
1,-12,81,13,1,-1,-6,-29
17,-5,-77,-14,-12,-6,-4,-2
-5,-5,56,14,-2,-1,-12,4
1,18,8,0,1,-2,-3,-4
11,2,-23,-7,0,4,9,13
-14,-7,18,-5,-4,-6,-9,-13
18,10,28,9,-2,1,2,0
2,-12,-59,-50,-9,-3,-5,-6
-29,8,-16,10,5,3,0,11
0,-13,50,36,4,-3,-3,-19
